url,title,company,categories,raw_phrases,location_raw,location_cities,location_regions,location_countries,location_type,location_is_remote,applicant_location_requirements,location_sources
https://web3.career/technical-operations-engineer-solana-quicknode/106768,"Web3 Technical Operations Engineer, Solana $140k - $180k in Lisbon",QuickNode,Computer Science / Software Engineering; Other / Unspecified,english; english; computer science experience verbal fluency in english nice to have qualifications,"Lisbon, Portugal","Lisbon, Portugal",,Portugal,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-operations-engineer-web3-core-platforms-quicknode/138704,"Technical Operations Engineer, Web3 Core Platforms $66k - $97k in Toronto",QuickNode,Finance / Economics / Business; Law / Legal; Other / Unspecified,business or; business or; forensic accounting/finance; human resources; business administration; the crypto space through independent research and sharing your knowledge oversee and audit investigations to ensure thoroughness and accuracy collaborate with law enforcement and external agencies when necessary must have 5,"Toronto, Canada","Toronto, Canada",,Canada,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-lead-zerion/139087,Web3 Technical Product Lead $91k - $150k USA,Zerion,Computer Science / Software Engineering,economics; economics; economics,United States,,,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-api-p2p-org/138543,Web3 Technical Product Manager - API European Union,P2P. org,Computer Science / Software Engineering; Data Science / Analytics; Finance / Economics / Business; Other / Unspecified,software development is a strong plus; software development is a strong plus; analytics; business; computer science or engineering; computer science; the domain industry br&gt; software development is a strong plus; the us,"Hong Kong, Hong Kong; United States; New York, United States; San Francisco, United States; Los Angeles, United States","Hong Kong, Hong Kong; New York, United States; San Francisco, United States; Los Angeles, United States",,Hong Kong; United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-bolt-defi-philabs/138020,"Web3 Technical Product Manager, Bolt DeFi⚡️ $72k - $90k Remote",Phi Labs,Finance / Economics / Business; Other / Unspecified,business; meteorology; financial services or fintech experience with salesforce; the us,"Lisboa, Portugal; San Francisco, United States; United States","Lisboa, Portugal; San Francisco, United States",,Portugal; United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-fun-xyz/103379,Web3 Technical Product Manager $84k - $145k in New York,Fun.xyz,Computer Science / Software Engineering; Finance / Economics / Business; Other / Unspecified,computer sciences; computer sciences; analytics; business; computer sciences; computer sciences; traditional or crypto markets; traditional or crypto markets; computer sciences,"New York, NY, United States; New York, United States","New York, NY, United States; New York, United States",NY,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-layerzerolabs/104086,Web3 Technical Product Manager $68k - $148k Remote,Layerzerolabs,Computer Science / Software Engineering; Finance / Economics / Business; Other / Unspecified,computer science; computer science; business; meteorology; financial services or fintech experience with salesforce; computer science; computer science; computer science; the us; computer science,"San Francisco, United States; United States","San Francisco, United States",,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-marketplace-bigtime/103219,Web3 Technical Product Manager - Marketplace $84k - $90k Remote,Big Time,Finance / Economics / Business; Other / Unspecified,business; meteorology; financial services or fintech experience with salesforce; the us,"San Francisco, United States; United States","San Francisco, United States",,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-paradextrade/93790,Web3 Technical Product Manager $68k - $90k Remote,Paradextrade,Finance / Economics / Business; Other / Unspecified,business; meteorology; financial services or fintech experience with salesforce; high paced environments; high paced environments; the us; high paced environments,"San Francisco, United States; United States","San Francisco, United States",,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-product-manager-protocol-scaling-oplabs/135189,"Web3 Technical Product Manager, Protocol (Scaling) $170k - $200k Remote",OP Labs,Finance / Economics / Business; Other / Unspecified,business; meteorology; financial services or fintech experience with salesforce; the us,"San Francisco, United States; United States","San Francisco, United States",,United States,TELECOMMUTE,true,Anywhere,jsonld
